question;intention;cypher
Mostre apenas os 5 primeiros petshops do bairro Jardim;aggregate_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN COUNT(p) AS total_petshops LIMIT 5
Quantos petshops existem em cada bairro?;aggregate_nodes;MATCH (n:Neighborhood)-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN n.name, COUNT(p) AS total_petshops
Qual é a soma de petshops do bairro Jardim?;aggregate_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN COUNT(p) AS total_petshops
Qual é a média de petshops por bairro em Jardim?;aggregate_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN AVG(COUNT(p)) AS avg_petshops
Qual é o menor número de petshops existentes em algum bairro?;aggregate_nodes;MATCH (n:Neighborhood)-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN MIN(COUNT(p)) AS min_petshops
Qual é o bairro com maior número de petshops?;aggregate_nodes;MATCH (n:Neighborhood)-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN n.name, COUNT(p) AS total_petshops ORDER BY total_petshops DESC LIMIT 1
Quantos petshops existem no bairro Jardim?;aggregate_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN COUNT(p) AS total_petshops
Qual a soma das avaliações de todos os petshops do bairro Centro, considerando apenas os bairros com população maior que 1000 habitantes?;aggregate_nodes;MATCH (n:Neighborhood {name: 'Centro'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) WHERE n.population > 1000 RETURN SUM(p.rating) AS sum_rating
Ordene a soma das avaliações dos petshops do bairro Centro em ordem decrescente;aggregate_nodes;MATCH (n:Neighborhood {name: 'Centro'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN SUM(p.rating) AS sum_rating ORDER BY sum_rating DESC
Mostre a soma das avaliações de apenas 5 petshops do bairro Centro;aggregate_nodes;MATCH (n:Neighborhood {name: 'Centro'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN SUM(p.rating) AS sum_rating LIMIT 5
Quantos petshops existem no bairro Centro?;aggregate_nodes;MATCH (n:Neighborhood {name: 'Centro'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN COUNT(p) AS total_petshops
Qual a soma das avaliações de todos os petshops do bairro Centro?;aggregate_nodes;MATCH (n:Neighborhood {name: 'Centro'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN SUM(p.num_reviews) AS total_reviews
Qual a média das avaliações de todos os petshops do bairro Centro?;aggregate_nodes;MATCH (n:Neighborhood {name: 'Centro'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN AVG(p.rating) AS avg_rating
Qual é o petshop com menor rating no bairro Centro?;aggregate_nodes;MATCH (n:Neighborhood {name: 'Centro'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name, p.rating ORDER BY p.rating ASC LIMIT 1
Qual é o petshop com maior rating no bairro Centro?;aggregate_nodes;MATCH (n:Neighborhood {name: 'Centro'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN p.name, p.rating ORDER BY p.rating DESC LIMIT 1
Qual a soma das avaliações de todos os petshops do bairro Centro?;aggregate_nodes;MATCH (n:Neighborhood {name: 'Centro'})-[:CONTAINS]->(p:Place {type: 'pet_store'}) RETURN SUM(p.rating) AS sum_rating
Quais bairros têm mais de 5.000 domicílios particulares?;aggregate_nodes;MATCH (n:Neighborhood) WHERE n.total_private_households > 5000 RETURN n.name
Em ordem decrescente, quantos bairros possuem mais de 5.000 domicílios particulares?;aggregate_nodes;MATCH (n:Neighborhood) WHERE n.total_private_households > 5000 RETURN COUNT(n) AS total_bairros ORDER BY total_bairros DESC
Mostre os 5 bairros com mais de 5.000 domicílios particulares;aggregate_nodes;MATCH (n:Neighborhood) WHERE n.total_private_households > 5000 RETURN COUNT(n) AS total_bairros LIMIT 5
Quantos bairros possuem mais de 5.000 domicílios particulares?;aggregate_nodes;MATCH (n:Neighborhood) WHERE n.total_private_households > 5000 RETURN COUNT(n) AS total_bairros
Qual é a soma de bairros com mais de 5.000 domicílios particulares?;aggregate_nodes;MATCH (n:Neighborhood) WHERE n.total_private_households > 5000 RETURN COUNT(n) AS total_bairros
Qual é a média de bairros com mais de 5.000 domicílios particulares?;aggregate_nodes;MATCH (n:Neighborhood) WHERE n.total_private_households > 5000 RETURN AVG(n.total_private_households) AS avg_bairros
Qual é o bairro com menor número de bairros com mais de 5.000 domicílios particulares?;aggregate_nodes;MATCH (n:Neighborhood) WHERE n.total_private_households > 5000 RETURN n.name, COUNT(n) AS total_bairros ORDER BY total_bairros ASC LIMIT 1
Qual é o bairro com o maior número de domicílios particulares?;aggregate_nodes;MATCH (n:Neighborhood) RETURN n.name, n.total_private_households ORDER BY n.total_private_households DESC LIMIT 1
Quantos bairros possuem mais de 5.000 domicílios particulares?;aggregate_nodes;MATCH (n:Neighborhood) WHERE n.total_private_households > 5000 RETURN COUNT(n) AS total_bairros
Quais tipos de lugares existem no bairro Vila Gilda, considerando apenas lugares com rating superior a 4?;distinct_values;MATCH (n:Neighborhood {name: 'Vila Gilda'})-[:CONTAINS]->(p:Place) WHERE p.rating > 4 RETURN DISTINCT p.type
Liste os tipos de lugares do bairro Vila Gilda em ordem alfabética;distinct_values;MATCH (n:Neighborhood {name: 'Vila Gilda'})-[:CONTAINS]->(p:Place) RETURN DISTINCT p.type ORDER BY p.type
Mostre apenas os 5 tipos de lugares existentes no bairro Vila Gilda;distinct_values;MATCH (n:Neighborhood {name: 'Vila Gilda'})-[:CONTAINS]->(p:Place) RETURN DISTINCT p.type LIMIT 5
Quantos tipos de lugares existem no bairro Vila Gilda?;distinct_values;MATCH (n:Neighborhood {name: 'Vila Gilda'})-[:CONTAINS]->(p:Place) RETURN COUNT(DISTINCT p.type) AS total_types
Qual é a soma de tipos de lugares existentes no bairro Vila Gilda?;distinct_values;MATCH (n:Neighborhood {name: 'Vila Gilda'})-[:CONTAINS]->(p:Place) RETURN SUM(DISTINCT p.type) AS total_types
Qual é a média de tipos de lugares existentes no bairro Vila Gilda?;distinct_values;MATCH (n:Neighborhood {name: 'Vila Gilda'})-[:CONTAINS]->(p:Place) RETURN AVG(DISTINCT p.type) AS avg_type
Qual é o tipo de lugar menos representado no bairro Vila Gilda?;distinct_values;MATCH (n:Neighborhood {name: 'Vila Gilda'})-[:CONTAINS]->(p:Place) RETURN MIN(DISTINCT p.type)
Qual é o tipo de lugar mais frequente no bairro Vila Gilda?;distinct_values;MATCH (n:Neighborhood {name: 'Vila Gilda'})-[:CONTAINS]->(p:Place) RETURN MAX(COLLECT(p.type))
Quais tipos de lugares existem no bairro Vila Gilda?;distinct_values;MATCH (n:Neighborhood {name: 'Vila Gilda'})-[:CONTAINS]->(p:Place) RETURN DISTINCT p.type
Liste apenas os tipos de estabelecimentos do bairro Campestre que possuem mais de 1000 habitantes;distinct_values;MATCH (n:Neighborhood {name: 'Campestre'})-[:CONTAINS]->(p:Place) WHERE n.population > 1000 RETURN DISTINCT p.type
Liste os tipos de estabelecimentos do bairro Campestre em ordem alfabética;distinct_values;MATCH (n:Neighborhood {name: 'Campestre'})-[:CONTAINS]->(p:Place) RETURN DISTINCT p.type ORDER BY p.type
Mostre os 5 tipos de estabelecimentos do bairro Campestre;distinct_values;MATCH (n:Neighborhood {name: 'Campestre'})-[:CONTAINS]->(p:Place) RETURN DISTINCT p.type LIMIT 5
Quantos tipos de estabelecimentos existem no bairro Campestre?;distinct_values;MATCH (n:Neighborhood {name: 'Campestre'})-[:CONTAINS]->(p:Place) RETURN COUNT(DISTINCT p.type) AS total_types
Qual é a soma de tipos de estabelecimentos do bairro Campestre?;distinct_values;MATCH (n:Neighborhood {name: 'Campestre'})-[:CONTAINS]->(p:Place) RETURN SUM(DISTINCT p.type) AS total_types
Qual é a média de tipos de estabelecimentos do bairro Campestre?;distinct_values;MATCH (n:Neighborhood {name: 'Campestre'})-[:CONTAINS]->(p:Place) RETURN AVG(DISTINCT p.type) AS avg_type
Qual é o tipo de estabelecimento menos comum no bairro Campestre?;distinct_values;MATCH (n:Neighborhood {name: 'Campestre'})-[:CONTAINS]->(p:Place) RETURN MIN(DISTINCT p.type)
Qual é o tipo de estabelecimento mais frequente no bairro Campestre?;distinct_values;MATCH (n:Neighborhood {name: 'Campestre'})-[:CONTAINS]->(p:Place) RETURN MAX(COLLECT(p.type))
Liste todos os tipos de estabelecimentos do bairro Campestre;distinct_values;MATCH (n:Neighborhood {name: 'Campestre'})-[:CONTAINS]->(p:Place) RETURN DISTINCT p.type
Qual é a diferença entre a taxa de alfabetização do bairro com a maior e menor população?;distinct_values;MATCH (n:Neighborhood) WHERE n.population = (SELECT MAX(population) FROM (MATCH (n:Neighborhood) RETURN n.population)) OR n.population = (SELECT MIN(population) FROM (MATCH (n:Neighborhood) RETURN n.population)) RETURN n.literacy_rate
Ordene as taxas de alfabetização dos bairros em ordem crescente;distinct_values;MATCH (n:Neighborhood) RETURN DISTINCT n.literacy_rate ORDER BY n.literacy_rate
Mostre as 5 principais taxas de alfabetização entre os bairros;distinct_values;MATCH (n:Neighborhood) RETURN DISTINCT n.literacy_rate LIMIT 5
Quantas taxas de alfabetização diferentes existem nos bairros?;distinct_values;MATCH (n:Neighborhood) RETURN COUNT(DISTINCT n.literacy_rate) AS total_literacy_rates
Qual é a soma das taxas de alfabetização de todos os bairros?;distinct_values;MATCH (n:Neighborhood) RETURN SUM(n.literacy_rate) AS total_literacy_rate
Qual é a média das taxas de alfabetização entre os bairros?;distinct_values;MATCH (n:Neighborhood) RETURN AVG(n.literacy_rate) AS avg_literacy_rate
Qual é a menor taxa de alfabetização entre os bairros?;distinct_values;MATCH (n:Neighborhood) RETURN MIN(n.literacy_rate) AS min_literacy_rate
Qual é a maior diferença de taxas de alfabetização entre os bairros?;distinct_values;MATCH (n:Neighborhood) RETURN MAX(n.literacy_rate) - MIN(n.literacy_rate) AS max_diff
Quais são as diferentes taxas de alfabetização entre os bairros?;distinct_values;MATCH (n:Neighborhood) RETURN DISTINCT n.literacy_rate
Quais clínicas veterinárias estão próximas aos petshops do bairro Jardim com população maior que 1000 habitantes?;related_nodes;MATCH (n:Neighborhood {name: 'Jardim', population: 1000})-[:CONTAINS]->(p:Place {type: 'pet_store'})MATCH (p)-[:NEAR]->(i:Intersection)<-[:NEAR]-(v:Place {type: 'veterinary_care'})RETURN DISTINCT v.name
Liste as clínicas veterinárias próximas aos petshops do bairro Jardim em ordem alfabética;related_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'})MATCH (p)-[:NEAR]->(i:Intersection)<-[:NEAR]-(v:Place {type: 'veterinary_care'})RETURN DISTINCT v.name ORDER BY v.name
Mostre as 5 clínicas veterinárias mais próximas aos petshops do bairro Jardim;related_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'})MATCH (p)-[:NEAR]->(i:Intersection)<-[:NEAR]-(v:Place {type: 'veterinary_care'})RETURN DISTINCT v.name LIMIT 5
Quantas clínicas veterinárias estão próximas aos petshops do bairro Jardim?;related_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'})MATCH (p)-[:NEAR]->(i:Intersection)<-[:NEAR]-(v:Place {type: 'veterinary_care'})RETURN COUNT(DISTINCT v.name) AS total_clinicas
Qual é a soma de clínicas veterinárias próximas aos petshops do bairro Jardim?;related_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'})MATCH (p)-[:NEAR]->(i:Intersection)<-[:NEAR]-(v:Place {type: 'veterinary_care'})RETURN SUM(DISTINCT v.num_reviews) AS total_clinicas
Qual é a média de rating das clínicas veterinárias próximas aos petshops do bairro Jardim?;related_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'})MATCH (p)-[:NEAR]->(i:Intersection)<-[:NEAR]-(v:Place {type: 'veterinary_care'})RETURN AVG(v.rating) AS avg_rating
Qual é a clínica veterinária com menor rating mais próxima aos petshops do bairro Jardim?;related_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'})MATCH (p)-[:NEAR]->(i:Intersection)<-[:NEAR]-(v:Place {type: 'veterinary_care'})RETURN v.name, v.rating ORDER BY v.rating ASC LIMIT 1
Qual é a clínica veterinária mais próxima aos petshops do bairro Jardim?;related_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'})MATCH (p)-[:NEAR]->(i:Intersection)<-[:NEAR]-(v:Place {type: 'veterinary_care'})RETURN v.name ORDER BY v.name DESC LIMIT 1
Quais clínicas veterinárias estão próximas aos petshops do bairro Jardim?;related_nodes;MATCH (n:Neighborhood {name: 'Jardim'})-[:CONTAINS]->(p:Place {type: 'pet_store'})MATCH (p)-[:NEAR]->(i:Intersection)<-[:NEAR]-(v:Place {type: 'veterinary_care'})RETURN DISTINCT v.name
Qual é a distância entre o bairro Jardim e o bairro Campestre, considerando apenas bairros com população maior que 1000 habitantes?;distance;MATCH (a:Neighborhood {name: 'Jardim', population: 1000}), (b:Neighborhood {name: 'Campestre', population: 1000}) RETURN point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon})) AS distance_meters
Ordene a distância entre o bairro Jardim e o bairro Campestre de forma crescente;distance;MATCH (a:Neighborhood {name: 'Jardim'}), (b:Neighborhood {name: 'Campestre'}) RETURN point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon})) AS distance_meters ORDER BY distance_meters ASC
Mostre a distância entre o bairro Jardim e o bairro Campestre, considerando apenas a primeira distância encontrada;distance;MATCH (a:Neighborhood {name: 'Jardim'}), (b:Neighborhood {name: 'Campestre'}) RETURN point.distance(point({latitude: a.centroid_lat, longitude: a.centroid_lon}), point({latitude: b.centroid_lat, longitude: b.centroid_lon})) AS distance_meters LIMIT 1
